Drink Volume,Drink Name,Attributes,Energy,Protein,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Carbohydrate,Total Sugars,Dietary Fibre,Sodium,Vitamin B1,Vitamin B6,Vitamin C,Sugars,Vitamin E,Beta Carotene,Vitamin A,Total Sugar,Vitamin B3,Vitamin D3,Carbohydrates,Calcium,Iron,Potassium,Niacinamide,Vitamin B,Anthocyanins,Calories,Thiamin,Vitamin D,Folate,Folic Acid,Total Carbohydrate,Saturates,Salt,Sugar,Vitamin,Fat,Fibre,Includes Added Sugars,Fiber,fat,sugars,Fats,saturates,Saturated Fats,fats,Saturaed Fat,Per Serving,Total Calories,Dietary Fiber,Proteins
1L,Ceres 100% Juice Blend Packet Drink - Ruby Grapefruit,Per Serving (200ml),470kJ,0g,0g,0g,0g,,26g,,0g,5mg,,,60mg,26g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,PomeFresh Juice Bottle Drink - Pomegranate,Per Serving (237ml),,0g,0g,0g,0g,0mg,,,0g,14mg,,,,31g,,,,,,,,,,588mg,,,,143kcal,,,,,36g,,,,,,,,,,,,,,,,,,,
750ml,Royal Select Sparkling Juice - Red Grape,Per Serving,68kcal,0g,0g,,,,17g,,,,,,,17g,,,,,,,,,,,,,,,,,,,,0g,0g,,,,,,,,,,,,,,,,,
473ml,Snapple Bottle Drink - Grapeade,Per Serving (1 Bottle),0g,0g,0g,0g,0g,,46g,,,10mg,,,,,,,,,,,,,,,,,,,,,,,,,,46g,,,,,,,,,,,,,,,,
1L,Tipco 100% Coconut Water,Per Serving (200ml),45kcal,0.4g,0g,0g,,0mg,11.2g,,0g,36mg,,,,10.1g,,,,,,,,,,348mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 140ml,YOU-C1000 Vitamin Bottle Drink - Apple,Per Serving (140ml),60kcal,0.0g,0.0g,0.0g,,,14.0g,14.0g,,45mg,,,,,,,,,,,,,,,2.0mg,,,,,,,,,,,,1000mg,,,,,,,,,,,,,,,
30 x 140ml (CTN),YOU-C1000 Vitamin Bottle Drink - Orange,Per Serving (140ml),78kcal,0.0g,0.0g,0.0g,,,19.5g,,,61mg,,,1000mg,19.5g,2.3mg,,,,,,,,,,2.3mg,,,,,,,,,,,,,,,,,,,,,,,,,,,
750 ML,Marks & Spencer Lemon Squash,Per Serving (),1kcal,0.1g,,0.1g,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03g,0.1g,,0.1g,0.5g,,,,,,,,,,,,,
1 L,Del Monte 100% Pineapple Juice w Vit AC&E,Per Serving (),,0g,,,,0mg,,,,5mg,,,,23g,,,,,,,29g,,,,,,,120kcal,,,,,,,,,,0g,,,,,,,,,,,,,,
946ml,R.W. Knudsen Family Organic 100% Bottle Juice - Just Prune,Per Serving (240ml),,1g,0g,0g,,,,35g,3g,15mg,,,,,,,,,,,,,2mg,644mg,,,,180kcal,,,,,46g,,,,,,,0g,,,,,,,,,,,,
2 X 240ML,Del Monte Pineapple Juice w/Fibre - Bundle of 2,Per Serving (),,0g,,,,0mg,,,,5mg,,,,22g,,,,,,,29g,,,,,,,120kcal,,,,,,,,,,0g,,,4g,,,,,,,,,,,
1 L,Marks & Spencer Cloudy Apple Juice,Per Serving (),43kcal,0.1g,,0.1g,,,10.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01g,10.2g,,0.1g,0.5g,,,,,,,,,,,,,
1 L,Marks & Spencer Lemon & Lime High Juice,Per Serving (),3kcal,0.1g,,0.1g,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05g,0.2g,,0.1g,0.5g,,,,,,,,,,,,,
1 L,Marks & Spencer Smooth Orange Juice,Per Serving (),40kcal,0.9g,,0.1g,,,9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01g,9g,,0.1g,0.5g,,,,,,,,,,,,,
6 X 355ML,HARMLESS HARVEST ORGANIC COCONUT WATER 6 X 355ML,Per Serving (0g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,20g,,,,,,,,,
750 ML,Aureli Pure Juice - Blueberry Red Beet Purple Carrot Apple,Per Serving (0.5g),32kcal,0.5g,,,,,7.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03g,,,,,,,,6.5g,0g,0g,,,,,,,
750 ML,James White Organic Pure Juice - Red Beetroot With Ginger,Per Serving (0.9g),31kcal,0.9g,,,,,6.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08g,5g,,0g,,,,,,,,0g,,,,,,
1 X 330ML,Cocoloco Coconut Water,Per Serving (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6g,,,,0g,,,,,
1 L,Marks & Spencer Smooth Orange Juice,Per Serving (),42kcal,0.5g,,0.1g,,,9.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05g,9.2g,,0.1g,0.1g,,,,,,,,,,,,,
750 ML,Aureli Organic Pure Juice - Carrot,Per Serving (0.6g),35kcal,0.6g,,,,,8.1g,,,,,,,6.8g,,,,,,,,,,,,,,,,,,,,,0.01g,,,0.1g,,,,,,,,,,0g,,,,
1000 ML,Kirei Kochi Ice Sweetened Yuzu Drink Concentrate,Per Serving (100ml),,0.2g,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,
500 ML,CocoCoast Natural Coconut Water with Yuzu,Per Serving (250),92kj,0g,,0g,,,5.5g,5g,,25mg,,,,,,,,,,,,,,82mg,,,,,,,,,,,,,,0g,,,,,,,,,,,100ml,,,
750 ML,James White Organic Mixed Vegetable Juice,Per Serving (0.7g),27kcal,0.7g,,,,,5.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04g,4.7g,,0.1g,,,,,,,,0g,,,,,,
500 ML,CocoCoast Natural Coconut Water with Passionfruit,Per Serving (250),92kj,0g,,0g,,,5.5g,5g,,25mg,,,,,,,,,,,,,,85mg,,,,,,,,,,,,,,0g,,,,,,,,,,,100ml,,,
1 L,Marks & Spencer Apple Juice From Concentrate,Per Serving (),44kcal,0.1g,,0.1g,,,10.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,10.3g,,0.1g,0.1g,,,,,,,,,,,,,
500 ML,CocoCoast Natural Coconut Water,Per Serving (250),92kj,0g,,0g,,,5.5g,5g,,25mg,,,,,,,,,,,,,,95mg,,,,,,,,,,,,,,0g,,,,,,,,,,,100ml,,,
500 ML,CocoCoast Natural Coconut Water with Lychee,Per Serving (250),92kj,0g,,0g,,,5.5g,5g,,25mg,,,,,,,,,,,,,,82mg,,,,,,,,,,,,,,0g,,,,,,,,,,,100ml,,,
24 X 325ML,Sundrop Lime Juice 325ml x 24 cans,Per Serving (),,,,,,,,,,,,,,5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,
1 L,Marks & Spencer Pink Grapefruit High Juice,Per Serving (),5kcal,0.1g,,0.1g,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03g,1g,,0.1g,0.5g,,,,,,,,,,,,,
