Drink Volume,Drink Name,Attributes,Energy,Protein,Total Fat,Carbohydrate,Calcium,Vitamin A,Vitamin B1,Vitamin D3,Carbohydrates,Saturated Fat,Sugars,Sodium,Calories,Total Sugars,Energy from Fat,Trans Fat,Cholesterol,Total Carbohydrates,Dietary Fibre,Calories from Fat,Monounsaturated Fat,Polyunsaturated Fat,Total Carbohydrate,Total Sugar,Monounsaturated Fatty Acid,Polyunsaturated Fatty Acid,Saturated Fatty Acid,Trans Fatty Acid,Salt,Cholestrol,Unsaturated Fat,Lactose,Sucrose,Calories From Fat,Saturated,Vitamin C,Iron,Fats,Natrium,Sugar,Fat,Trans fat,Dietary Fiber,Total fat,Saturated fat,Omega 6,Carbohyrate,Lipids,Salt equivalent,Phosphrous,Calorie,Potassium,Polyphenois,Caffeine,Per,Saturates Fat,Total Carb,Total Fats,Saturated Fats,Added Sugar,Caffeine Content,Per Serving,SaturatedFat,of which saturated fats,of which sugars,Fibres,Fibre,Serving Per,Added Sugars,Vitamin D,Total Calorieso,Calories From Saturated Fat,Salt (Sodium),Serving,TotalSugers,Monosaturated Fat,Satutated Fat,Total Dietary Fiber,Enery
12 X 250G,illy Whole Bean Intenso Roast - Carton,Per Serving (100g),344kcal,17g,,12g,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,14g,,,,,,,,,,,,,,100g,6.2g,,,,,,,,,,,,,,,,,,,,,,,
1 X 1KG,Universal Caffe Extra Coffee Beans,Per Serving (),,17g,11g,66g,,,,,,4.9g,0g,0mg,90kcal,,,0g,0mg,,0g,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 X 300ML,Sundrop Black Coffee (300ml x 4 cans) - Pack of 2,Per Serving (),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,,,,,,,,,,,,,,,
24 X 300ML,Sundrop Black Coffee (Kopi O Kaw) 300ml x 24 cans,Per Serving (),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,,,,,,,,,,,,,,,
250 G,Sunday Organic Guatemala Medium Roasted Coffee Beans,Per Serving (),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 X 25G,Indocafe Ginger Coffeemix,Per Serving (),110kcal,1g,2.5g,21g,,,,,,2.5g,16g,,,,,,,,,,,,,,,,,,10mg,,,,,,,,,,,,,,2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 X 240ML,JavaCafe Iced Latte Coffee Drink - Case,Per Serving (3g),140kcal,3g,3.0g,25g,,,,,,,19g,40mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 G,UCC Gold Special Roasted Coffee Beans Rich Blend,Per Serving (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 G,AGF Slightly Luxurious Coffee Shop Special Blend Coffee,Per Serving (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 X 300ML,Sundrop Milk Coffee (300ml x 4 cans) - Pack of 2,Per Serving (),,,,,,,,,,,4.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,,,,,,,,,,,,,,,
500 G,Sunday Organic Guatemala Medium Roasted Coffee Beans,Per Serving (),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 X 18G,Alor Original White Coffee (2 in 1),Per Serving (),385kcal,0.8g,,8.6g,,,,,,,,,,1.18g,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1g,,,,,,,,,,,,,,,,,,,,,,1.25g,,,,,,,,,,,,,,,,
8 pc,BEST Choice Strong Black Coffee (No Sugar),Per Serving (),12kcal,0.8g,3g,1.5g,,,,,,2g,,8mg,,,,0g,0mg,,2.6g,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160 G,foodNess Cappuccino (No Added Sugar),Per Serving (),3.5kcal,0.1g,,,,,,,0.7g,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,0.1g,0.1g,,,,,,,,,,,,,
126 G,Marks & Spencer Fairtrade Instant Cappuccino Sachets,Per Serving (),424kcal,14.4g,,60.5g,,,,,,11.6g,,,,,,,,,,,,,,,,,,,1.13g,,,,,,,,,,,46.9g,12.9g,,,,,,,,,,,,,,,,,,,,,,,,,,3.9g,,,,,,,,,,,,
5760 ML,Bifido Just Drink-CAN-Latte 24 x 240ml,Per Serving (100ml),,1.9g,,9.6g,,,,,,,7.5g,76mg,64kcal,,,,3.0mg,,0.0g,,,,,,,,,,,,,2.8g,,,,,,2.0g,,,,0.0g,,,1.4g,,,,,,,,,,,,,,,,,,,,,,,100ml,4.7g,,,,,,,,,,
1440 ML,Bifido Just Drink-CAN-Latte 6 x 240ml,Per Serving (100ml),,1.9g,,9.6g,,,,,,,7.5g,76mg,64kcal,,,,3.0mg,,0.0g,,,,,,,,,,,,,2.8g,,,,,,2.0g,,,,0.0g,,,1.4g,,,,,,,,,,,,,,,,,,,,,,,100ml,4.7g,,,,,,,,,,
6 X 210G,BERNACHON BERNACHON Coffee-Charcoal Roasted Bundle Pack,Per Serving (),,3.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1g,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 G,foodNess Dolce Gusto Golden Milk with Turmeric,Per Serving (),2.9kcal,0g,,,,,,,0.7g,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,0g,0g,,,,,,,,,,,,,
30 X 2G,Gold Choice Dual Freeze Black Coffee - Cold Brew Sensation,Per Serving (),,0g,,,0mg,,,,,0g,,0mg,5kcal,0g,,0g,0mg,,,,,,1g,,,,,,,,,,,,,,0.1mg,,,,,,0g,,,,,,,,,50mg,,,,,,,,,,,,,,,,,,0mcg,,,,,,,,,
250 G,illy Ground Espresso Intenso Coffee - Dark Roast,Per Serving (100g),344kcal,17g,,12g,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,14g,,,,,,,,,,,,,,100g,6.2g,,,,,,,,,,,,,,,,,,,,,,,
10 pc,Punto Italia Espresso Nespresso Coffee Pods Organic Arabica,Per Serving (100g),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131 G,illy E.S.E Pods Coffee - Classico Roast - 18 Serving,Per Serving (100g),344kcal,17g,,12g,,,,,,6.2g,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,0g,14g,,,,,,,,,,,,,,100g,,,,,,,,,,,,,,,,,,,,,,,,
240 x 40g (CTN),Chek Hup 3 in 1 Instant Ipoh White Coffee - Original,Per Serving,481kcal,3.4g,19.9g,72g,,,,,,19.8g,47.6g,,,,,0g,,,,,0.1g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 G,Sunday Charcoal Roasted Arabica Dark Roast Coffee Beans,Per Serving (),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 X 1S,Top Cappuccino Instant Coffee Mix - Choco Malt 6S,Per Serving (110kcal),,1g,3.5g,,,,,,,3.5g,14g,,,,,,,,,,,,19g,,,,,,,,,,,30kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110kcal,35kcal,50mg,,,,,,
200 ML,Origina Double Espresso Caramel Macchiato 200ml,Per Serving (),,2.6g,,9.2g,,,,,,,,45.3mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6g,,,,,,,,,,,,,,,,,,,,,,1.5g,,,,,,,,,,,100ml,4.3g,,,,
18 pc,EL Coffee Brown Rice  Beverage,Per Serving (),425kcal,4.9g,8.4g,82.5g,,,,,,7.8g,,33.7mg,,,,0.2g,0mg,,4.8g,,,,,,,,,,,,,,,,,,,,,44.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 X 200G,foodNess Nutty (Hazelnut) Coffee,Per Serving (),3.2kcal,0.1g,,,,,,,0.7g,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,0g,0.1g,,,,,,,,,,,,,
6 X 260G,UCC The Coffee Deep Roasted Coffee Low Sugar,Per Serving (0.5g),,0.5g,,,,,,,3.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,0.04g,,17kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 pc,BEST Choice Black Coffee (Raw Sugar),Per Serving (1),64kcal,0.9g,0.5g,14.1g,,,,,,0.2g,,18mg,,,,0.0g,0mg,,2.1g,,,,,8.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240 G,EveryDay Low GI Instant Coffee,Per Serving (),,0.9g,3.1g,,5mg,,,,,,,27mg,,,,,,,,,,,14.1g,2.7g,,,,,,,,,,,,,0.2mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,3g,1.6g,377kj
30 X 240ML,JavaCafe Iced Mocha Coffee Drink - Case,Per Serving (3g),140kcal,3g,3.0g,25g,,,,,,,19g,40mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 X 185G,UCC Blended Coffee Cafe Au Lait Low Calorie,Per Serving (),,0.5g,,,,,,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4g,0.02g,,14kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 G,Cafe specialists Traditional Signature Ground Coffee Powder,Per Serving (2.5g),50kcal,2.5g,,10g,,,,,,,,50mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270 G,Mycofe Long Black O,Per Serving (18),,0.9g,0g,,,,,,,,,,294kj,,,,,,,,,,16.5g,,,,,,17.4mg,,,,,,,,,,,14.8g,,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 X 260G,UCC Blended Coffee Luxurious Cafe Au Lait,Per Serving (),,0.6g,,,,,,,7.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7g,0.02g,,40kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 X 185G,UCC Black 100% Roasted Coffee Sugar Free,Per Serving (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 G,AGF Slightly Luxurious Coffee Shop Instant Coffee Modern Blen,Per Serving (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
