Drink Volume,Drink Name,Attributes,Energy,Protein,Total Fat,Carbohydrate,Calcium,Vitamin A,Vitamin B1,Vitamin D3,Carbohydrates,Saturated Fat,Sugars,Sodium,Calories,Total Sugars,Energy from Fat,Trans Fat,Cholesterol,Total Carbohydrates,Dietary Fibre,Calories from Fat,Monounsaturated Fat,Polyunsaturated Fat,Total Carbohydrate,Total Sugar,Monounsaturated Fatty Acid,Polyunsaturated Fatty Acid,Saturated Fatty Acid,Trans Fatty Acid,Salt,Cholestrol,Unsaturated Fat,Lactose,Sucrose,Calories From Fat,Saturated,Vitamin C,Iron,Fats,Natrium,Sugar,Fat,Trans fat,Dietary Fiber,Total fat,Saturated fat,Omega 6,Carbohyrate,Lipids,Salt equivalent,Phosphrous,Calorie,Potassium,Polyphenois,Caffeine,Per,Saturates Fat,Total Carb,Total Fats,Saturated Fats,Added Sugar,Caffeine Content,Per Serving,SaturatedFat,of which saturated fats,of which sugars,Fibres,Fibre,Serving Per,Added Sugars,Vitamin D,Total Calorieso,Calories From Saturated Fat,Salt (Sodium),Serving,TotalSugers,Monosaturated Fat,Satutated Fat,Total Dietary Fiber,Enery
200g,Boncafe Whole Bean Coffee - Mocca,Per Serving (13g),7kcal,0.9g,0.0g,1.1g,,,,,,0.0g,,4mg,,0.0g,,0.0g,0mg,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200g,Boncafe Ground Coffee Powder - Colombiana,Per Serving (13g),,,1.5g,9g,,,,,,1g,0g,0mg,,,,0g,0mg,,6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 x 20g,Indocafe 3 in 1 Instant Coffee Mix - Special Blend,Per Serving (55g),,8g,1g,1g,15%,4%,,,,0.5g,1g,280mg,,,,,45mg,,0g,,,,,,,,,,,,,,,,,2%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 pc,Punto Italia Espresso Nespresso Coffee Pods Intenso,Per Serving (100g),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100g,UCC The Blend Instant Coffee Powder - 118 (Strong),Per Serving,6.8kcal,0.4g,0g,1.3g,,,,,,0g,0g,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112 G,UCC Craftsman's Coffee Drip Cof Sweet Fragrance Rich Blend 16,Per Serving (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330 G,Killiney Kopi-O Siew Dai,Per Serving (2.8g),,2.8g,1.5g,,,,,,14.3g,0.7g,10.3g,36mg,,,,0g,0mg,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112 G,UCC Craftsman's Coffee Drip Coffee Deep Rich Special Blend 16,Per Serving (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 pc,Punto Italia Espresso Dolce Gusto Coffee Pods Cappuccino,Per Serving (100g),,,,,,,,,,,8.16g,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100g,Moccona Classic Freeze Dried Instant Coffee - Dark Roast,Per Serving (100g),135kcal,15.1g,0.2g,6.1g,,,,,,0.1g,3.3g,,,,,,,,,,,,,,,,,,0.4175g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
