Drink Volume,Drink Name,Attributes,Energy,Protein,Carbohydrate,Fat,Cholesterol,Sugars,Dietary Fibre,Sodium,Catechin,Potassium,Vitamin B3,Vitamin B6,Vitamin B12,Calories,Saturated Fat,Carbohydrates,Total Fat,Total Sugar,Tea Polyphenols,Trans Fat,Antioxidant,Added Sugars,Calcium,Vitamin C,Total Sugars,Theanine,Tea Polyphenois,Iron,Water,Ash,Magnesium,Phosphorus,Copper,Manganese,Riboflavin,Niacin,Folate,Asorbic Acid,Calories from Fat,Monounsaturated Fat,Polyunsaturated Fat,Per Serving Size,Fats,Vitamin A,Sugar,Catechin (mg),Vitamin B1,Vitamin B2,Salt equivalent,Caffeine,Total Carbohydrate,Total fat,Dietry fibre,Calories From Fat,Salt,Total Energy,Total Fats,Saturated fat,Amount per,Saturated fats,Total Carboyhdrate,Dietary fiber,Carbohyrate
100 G,"Mamami ""-"" Hojicha Powder (Japan)",Per Serving (1g),,1g,,,0g,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1g,0g,,,,,,,,,,,,,,,,,,,,
8 pc,BEST Choice Pineapple & Osmanthus Snow Pear Triangle Tea Bag,Per Serving (1),1393kj,2.5g,77.5g,0.9g,,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 pc,BEST Choice Brown Sugar & Red Date Ginger Tea Triangle Tea Ba,Per Serving (1),1659kj,0g,97.6g,0g,,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sosro Tehbotol - Less Sugar 450ML [ Carton ],Per Serving (),,,,,,9.9g,,15mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6g,,,,,41kcal,,,,,,,
15 x 500ml (CTN),Wong Lo Kat Bottle Drink - Herbal Tea,Per Serving (100ml),141kJ,Less than 1g,,,,8.3g,,0mg,,,,,,,Less than 1g,,Less than 1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3g,,,,,,,,,,,,
8 pc,BEST Choice Red Date Tea (Raw Sugar),Per Serving (1),17kcal,0.1g,4.2g,,0mg,,0.1g,0mg,,,,,,,0g,,0.0g,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,4.1g,,,,,,,,,,,,,,,,,,
160 G,Kim's Duet Teh-O (Black Tea With Less Sugar),Per Serving (200),12kcal,,3.1g,,,,,1mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9g,,,,,,,,,,,,,,,,,,
400 G,Kim's Duet Teh-C (Black Tea With Milk & Less Sugar),Per Serving (180),37g,0.2g,6g,,,,0.6g,4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9g,,,,,,,,,,,,1.3g,1.3g,,,,,
190 G,Lipton Hong Kong Style Yuanyang Milk Tea,Per Serving (100ml),,1.2g,,,,9.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9g,,,,,,,,,,,,,,,,,,,,
400 ML,The GUTsy Captain Original Kombucha ZERO,Per Serving (),0kj,0g,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01g,,,,,,,,
400 ML,The GUTsy Captain Raspberry Kombucha ZERO,Per Serving (100),0kj,0g,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01g,,,,,,,,
40 G,Green Bio Tech Natural Soursop Leaf Tea,Per Serving (100g),380kcal,11.1g,68.4g,6.8g,,,,8.4mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5g,,,,,,,,,,,,,,100g,0g,,,
36 x 1.6g,Lipton Brown Rice Green Tea Bags,Per Serving,0kcal,0g,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 X 250ML,Hi-C Lemon Tea [Bundle of 6],Per Serving (),,0g,,,,4.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,
8 pc,BEST Choice Lemongrass & Pandan Tea (Raw Sugar),Per Serving (1),14kcal,0g,3.5g,,0mg,,0g,3mg,,,,,,,0g,,0g,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,3.3g,,,,,,,,,,,,,,,,,,
1 X 250ML,Lo Bros Organic Raspberry & Lemon Kombucha,Per Serving (1g),,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99 G,Nitto Salt and Lychee Tea 10P,Per Serving (),38kcal,0g,9.5g,0g,,,,,,,,,,,,,,,,,,,,100mg,,,,,,,,,,,,,,,,,,,,,,,,,0.24g,0.0g,,,,,,,,,,,,,
330 ML,Liberty Blood Orange Kombucha,Per Serving (100),27kj,0g,1.6g,0g,,,,1mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 G,Zestiva Kyoho Grape Oolong Tea (loose tea leaves),Per Serving (),,,,,,,,0mg,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,
36 G,Zestiva Dong Ding Oolong Tea (12 tea bag),Per Serving (),,,,,,,,0mg,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,
250 ML,Bootstrap Beverages Hojicha Cold Brew Tea,Per Serving (),0j,,,,,,,,,,,,,,,,0g,,,,,,0mg,,,,,,,,,,,,,,,,,,,,,,2g,,,,,,,,,,,,,,,,0g,,
400 G,Alitea Warung Teh Tarik,Per Serving (),85kcal,0.7g,,,,,,,,,,,,,,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8g,,,,,,,,,,,,
400g,Cha Tra Mue Extra Gold Premium Tea Powder - Vanilla,Per Serving (2),,,,,300mg,,,2400mg,,,,,,,,,65g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300mg,,,,,,,20g,,,,25g,
1 X 30G,Nature's Superfoods Ceremonial Matcha Powder Green Tea,Per Serving (1g),0.01kcal,1g,,,0mg,0g,0g,0mg,,,,,,,,2g,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,
1 L,Minor Figures Organic Barista Chai Concentrate,Per Serving (),105kj,0g,6g,0g,,6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,
216 G,Kim's Duet Instant Chrysanthemum,Per Serving (8.6g),35g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6g,,,,,,,,,,,,,,,,,,8.7g
12 X 400ML,The GUTsy Captain Raspberry Kombucha ZERO,Per Serving (100),0kj,0g,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01g,,,,,,,,
