drink volume,drink name,attributes,energy,trans fat,protein,total fat,saturated fat,cholesterol,carbohydrate,sugars,dietary fibre,sodium,calcium,iron,vitamin c,vitamin b2,potassium,chloride,phosphate,monounsaturated fat,polyunsaturated fat,sugar,tea polyphenols,total sugar,trans fatty acid,total sugars,niacin,vitamin a,vitamin b1,vitamin d,vitamin e,thiamine (vitamin b1),riboflavin (vitamin b2),vitamin b6,folic acid,vitamin b12,biotin,pantothenic acid,zinc,beta carotene,lactose,fat,tea polyphenois,added sugars,calories,calories from fat,vitamin b3,vitamin d3,magnesium,thiamine,riboflavin,niacin (b3),riboflavin (vit b2),nicotinamide,total carbohydrate,sucrose,natrium / sodium,salt,catechin (mg),omega 6,omega 3,niacinamide,vitamin,per serving,carbohydrates,fibre,fiber,glucose,maltose,dietary fibre.1,phosphorus,vitamin b,macing,fats,total carbohydrates,phosphorous,vitamin k,choline,manganese,copper,iodine,total fats,added sugar,calorie,serving per,saturated fat.1,trans fat.1,proteins,bicarbonates,sulphates,chlorides,silica,nitrates,flourides,ion,fluorides,acai extract,blueberry extract,pomegranate extract,sulfates,ph value,total dissolved solids,ats,serving size: 4.5 tbsp,servings per container,saturated fats,vit d,catechin,antioxidant,theanine,water,ash,folate,asorbic acid,per serving size,salt equivalent,caffeine,total fat.1,dietry fibre,calories from fat.1,total energy,amount per,saturated fats.1,total carboyhdrate,dietary fiber,carbohyrate,anthocyanins,thiamin,saturates,includes added sugars,fat.1,sugars.1,saturates.1,fats.1,saturaed fat,total calories,dietary fiber.1,energy from fat,monounsaturated fatty acid,polyunsaturated fatty acid,saturated fatty acid,cholestrol,unsaturated fat,saturated,natrium,lipids,phosphrous,polyphenois,per,saturates fat,total carb,caffeine content,saturatedfat,of which saturated fats,of which sugars,fibres,total calorieso,calories from saturated fat,salt (sodium),serving,totalsugers,monosaturated fat,satutated fat,total dietary fiber,enery
24 x 250ml (ctn),red bull energy can drink - classic,per serving (250ml),166.8kcal,0,1g,0g,0,0mg,46.5g,40g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946ml,natur-a organic fortified soy beverage - chocolate,per serving (250ml),0,0g,7g,6g,1g,0mg,20g,19g,1g,140mg,0,0,0,0,380mg,0,0,2g,2.5g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160kcal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2g,0.3g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 x 250ml,alchemy & tonic grapefruit & thyme tonic water,per serving (),142kj,0,0g,0,0,0,7.5g,0,0,0,0,0,0,0,0,0,0,0,0,7.5g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 x 250ml,alchemy & tonic hibiscus pink lemonade,per serving (),32kcal,0,0g,0,0g,0,7.5g,0,0,4.99mg,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100ml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946ml,natur-a organic fortified soy beverage - vanilla,per serving (250ml),0,0g,7g,5g,0.5g,0mg,13g,11g,1g,80mg,0,0,0,0,270mg,0,0,2g,2.5g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130kcal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2g,0.3g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 l,rude health ultimate almond drink,per serving (null),157kj,0,1.5g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0g,0,0,0,0,0,0,0.8g,0.8g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 x 1.5l (ctn),fanta bottle drink - strawberry,per serving (320ml),61kcal,0,0g,0,0,0,14.7g,0,0,10mg,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 l,del monte four seasons juice drink tetra,per serving (),0,0,0g,0,0,0mg,0,18g,0,5mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0g,0,0,70kcal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19g,0,0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 l,rude health organic brown rice drink,per serving (null),257kj,0,0.1g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1g,0,0,0,0,0,0,11.9g,0.2g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 x 25g,maxtea instant drink - tarikk with ginger,per serving (25g),105kcal,0g,0.9g,2.4g,2.1g,0mg,20.7g,13.5g,1g,15mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 x 200ml,schweppes carbonated bottle drink - indian tonic water,per serving,42kcal,0,0g,0,0,0,9.8g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 x 500ml (ctn),pokka bottle drink - ice lemon tea,per serving (250ml),100kcal,0,0.0g,0.0g,0.0g,0,25.0g,0,0,13mg,0,0,0,0,0,0,0,0,0,0,10mg,24.3g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 x 500ml (ctn),pokka premium bottle drink - milk tea (original),per serving (250ml),105kcal,0.0g,1.5g,1.8g,1.3g,0,20.8g,19.0g,0,53mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180g,weider multi vitamin jelly packet drink - passion fruit,per serving (180g),70kcal,0,0g,0g,0g,0,17.6g,15.5g,0g,70mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 x 240ml,milo activ-go original rtd - can drink 6pcs,per serving (100ml),54kcal,0,2.0g,1.5g,0,0,8.0g,5g,0,37mg,75mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1mg,0,0,0,0.2mg,0,0,0,0,0,0,2.2g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5g,0,0,0,0,0,0,0,0,0,0,0,0.4g,0.9g,0.5g,53mg,0.2mg,1.4mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 x 500ml (ctn),pokka bottle drink - ice peach tea,per serving (250ml),100kcal,0,0.0g,0.0g,0.0g,0,25.0g,0,0,13mg,0,0,0,0,0,0,0,0,0,0,10mg,24.3g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300 ml,karma drinks organic sparkling blackcurrant,per serving (0.1g),120kj,0,0.1g,0,0,0,6.8g,6.1g,0,0.6mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000 ml,kirei kochi ice sweetened yuzu drink concentrate,per serving (100ml),0,0,0.2g,0,0,0,0,0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 x 1.5l (ctn),f&n flavoured bottle drink - sarsi,per serving (250ml),202kj,0,0g,0g,0g,0,11.9g,0g,0,0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 x 250ml,alchemy & tonic indian tonic water,per serving (),134kj,0,0g,0,0,0,7g,0,0,0,0,0,0,0,0,0,0,0,0,7g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 l,rude health barista coconut drink,per serving (100),225kj,0,0.8g,0,0,0,7g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1g,0,0,0,0,0,0,0,0,0.9g,0,0,0,0,0,0,2.3g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48 x 250ml ctn),vitasoy soya bean packet drink - chocolate,per serving (250ml),0,0g,3g,3.5g,1g,0mg,0,22.0g,0,130mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160cal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,drink almighty sparkling water - peach and ginger 330ml x 6,per serving (),16kj,0,0g,0g,0,0,0g,0g,0,69mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 l,rude health organic soya drink,per serving (null),165kj,0,3.6g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05g,0,0,0,0,0,0,1.6g,0.3g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 x 500ml (ctn),wong lo kat bottle drink - herbal tea,per serving (100ml),141kj,0,less than 1g,less than 1g,less than 1g,0,0,8.3g,0,0mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 l,marks & spencer plant kitchen unsweetened almond drink,per serving (),14kcal,0,0.5g,0,0.21g,0,0.8g,0,0,0,0,0,0,0,0,0,0,0,0,0.2g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10g,0,0,0,0,0,0,0,0.5g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 l,marks & spencer plant kitchen coconut drink,per serving (0.2g),119kj,0,0.2g,0,1.7g,0,2.2g,0,0,0,0,0,0,0,0,0,0,0,0,2g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08g,0,0,0,0,0,0,0,1g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 l,rude health organic oat drink,per serving (null),181kj,0,0.8g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1g,0,0,0,0,0,0,6.1g,0.3g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 x 125ml,nutricia souvenaid bottle drink - vanilla,per serving (125g),125kcal,0,3.1g,5.4g,0,0,15.4g,0,0.7g,125mg,100mg,2mg,80mg,0,125mg,145mg,0,0,0,0,0,0,0,0,0,200?g,0,1?g,40mg,0,0,1mg,400?g,3?g,5?g,0,1.5mg,0,0,0,0,0,0,0,0,0,25mg,0,0,0,0,0,0,0,0,0,0,0,1500mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5mg,7.7?g,400mg,0.4mg,0.2mg,20?g,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 x 500ml,hung fook tong cha dian xia scf and honey drink[bundle of 2],per serving (100),0,0,0g,0,0,0,0,5.7g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100ml,0,0,0,0,0,0,0,0,0,0g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 l,marks & spencer apple & rhubarb juice drink,per serving (),40kcal,0,0.2g,0,0.1g,0,9.2g,0,0,0,0,0,0,0,0,0,0,0,0,9.2g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01g,0,0,0,0,0,0,0,0.5g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 x 150ml,east imperial grapefruit soda - pack of 4 bottles,per serving (),0,0,0g,0,0g,0,0,0,1g,1.75mg,0,0,0,0,0,0,0,0,0,0,0,12g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12g,0,0,0,0,0,0,0g,12g,59kcal,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250 ml,rude health mini almond drink,per serving (100),237kj,0,0.2g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1g,0,0,0,0,0,0,10.5g,0.2g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
